uspapi_before_gpc or usp_cookies_before_gpc,uspapi_after_gpc or usp_cookies_after_gpc,Compliance Classification,,,,
1***,1*Y*,USPS: Opted Out,,,,
"Invalid, ""null"", or no USPS",1*Y*,USPS: Opted Out,,,,
1***,1*N*,USPS: Did Not Opt Out,,,,
"Invalid, ""null"", or no USPS",1*N*,USPS: Did Not Opt Out,,,,
1*Y*,1*-*,USPS: Did Not Opt Out,,,,
1*N*,1*-*,USPS: Did Not Opt Out,,,,
1*-*,1*-*,USPS: Not Applicable,,,,
"Invalid, ""null"", or no USPS",1*-*,USPS: Not Applicable,,,,
1***,"Invalid, ""null"", or no USPS",USPS: <Invalid/Missing> USPS after Opt-out,,,,
"Invalid, ""null"", or no USPS",Invalid USPS,USPS: <Invalid/Missing> USPS after Opt-out,,,,
Invalid USPS,"""null"" or no USPS",USPS: <Invalid/Missing> USPS after Opt-out,,,,
"* indicates that the character in that position can be Y, N, or -",,,,,,
"""Invalid"" means a USPS not four characters long or with invalid values (i.e., characters other than 1, Y, N, or - ).",,,,,,
